=== PHASE 1 start: 750 candidats bruts ===
KEEP 128 399796861 BAXTER INJECTION (VINAY, tranche 12)
KEEP 129 514372515 IPV INJECTION (NEUVE-EGLISE, tranche 12)
KEEP 130 878798552 ANJOU INJECTION (SOMLOIRE, tranche 11)
KEEP 131 388781544 INJECTION 74 (INJECTION 74) (ALEX, tranche 12)
--- progress: 200 interroges, 131 retenus ---
KEEP 132 424575348 CREUTZWALD INJECTION (CREUTZWALD, tranche 12)
KEEP 133 805408226 USINAGE DE GOMBERVILLE (MAGNY-LES-HAMEAUX, tranche 11)
KEEP 134 845403906 NSN USINAGE (NSN USINAGE) (HEYRIEUX, tranche 11)
KEEP 135 501642912 BEAUCOURT USINAGE (DOUVRIN, tranche 11)
KEEP 136 832700785 STL USINAGE (SAINT-HEAND, tranche 11)
KEEP 137 524754462 AMCM USINAGE (SASSEVILLE, tranche 11)
KEEP 138 702025362 SOC USINAGE MODERNE PRECISION (UMP) (THOIRY, tranche 11)
KEEP 139 381315985 SOCIETE TOULOUSAINE D'ETUDE ET D'USINAGE (STD (PINSAGUEL, tranche 11)
KEEP 140 805029881 ISERE MOLD USINAGE (I.M.U.) (SAINT-JEAN-DE-SOUDAI, tranche 11)
KEEP 141 393694575 USINAGE TECHNIQUE PRECISION (UTP) (SEYSSINET-PARISET, tranche 11)
KEEP 142 444866339 BLOX USINAGE PLASTIQUES (VILLEURBANNE, tranche 11)
KEEP 143 415254960 SERVICE USINAGE METALLISATION (VILLIERS-EN-LIEU, tranche 11)
KEEP 144 518247580 TLM USINAGE ATLANTIQUE (SAINT-PERE-EN-RETZ, tranche 11)
KEEP 145 333657724 APPLICATION D'USINAGE TECHNIQUE (TINTENIAC, tranche 11)
KEEP 146 348989864 LIMOGES USINAGE MECANIQUE (LUM) (BOISSEUIL, tranche 11)
KEEP 147 447765587 USINAGE DU BEL AIR (CHAMESSON, tranche 11)
KEEP 148 313789943 SOC USINAGE MECANIQUE DE PRECISION (SUMECA) (FLIXECOURT, tranche 11)
KEEP 149 325527422 ATELIERS LANGROIS USINAGE CHAUDRONNERIE (ALUC (LANGRES, tranche 11)
KEEP 150 303679948 SOCIETE NORMANDE D'USINAGE DE BOIS (SNUB) (MAY-SUR-ORNE, tranche 11)
KEEP 151 383788841 SOC ANGEVINE USINAGE DE MOULES (SAUM) (LONGUE-JUMELLES, tranche 11)
KEEP 152 313956211 SOC USINAGE ET MECANIQUE GENERALE (SUMEG) (CHANTONNAY, tranche 11)
KEEP 153 538661414 SOCIETE USINAGE HAUTE TECHNOLOGIE (SUHT) (EVREUX, tranche 11)
--- progress: 225 interroges, 153 retenus ---
KEEP 154 388354474 AUTOMATION USINAGE REALISAT.ETUDE APPLIC (AUR (ETALANS, tranche 11)
KEEP 155 432320034 CONCEPT MECANIQUE USINAGE PRECISION - CMUP (C (CHAUMONT, tranche 11)
