=== PHASE 1 start: 750 candidats bruts ===
reprise: 450 deja interroges, 363 retenus
KEEP 126 822829990 D.V.P. DECOUPE VIANDES PRODUCTEUR (LA FERRIERE, tranche 12)
KEEP 127 340913524 LA DECOUPE LASER DROUAISE (DLD) (DREUX, tranche 12)
KEEP 128 507518298 ABATTOIR ET DECOUPES DES TUILERIES (BEAUVAIS-SUR-TESCOU, tranche 12)
KEEP 129 411175029 LORRAINE DECOUPE ACIERS (LDA) (SENONES, tranche 12)
KEEP 130 433698123 OUEST DECOUPE SOUDURE   ODS (CHEFFOIS, tranche 12)
KEEP 131 444794283 KLEIN DECOUPE SERVICE - K.D.S. S.A.S. (K.D.S) (JONAGE, tranche 12)
KEEP 132 310880489 SOCIETE D'ETUDES ET REALISATION D'OUTILS A DE (PIREY, tranche 12)
KEEP 133 404048704 ABAG (ABATTOIRS DE GRENOBLE) (ABAG) (ABAG) (FONTANIL-CORNILLON, tranche 12)
KEEP 134 393492269 LGP PACKAGING (CEDI-CARTONNERIE-EMBALLAGE-DEC (BRETEUIL, tranche 12)
KEEP 135 309246247 DPMI (DECOUPE PLIAGE MECANO SOUDURE INDUSTRIE (MARBOZ, tranche 12)
KEEP 136 799978093 GUEGAN CHAUDRONNERIE (RENNES, tranche 11)
KEEP 137 488183138 CHAUDRONNERIE SERVICES (FEIGNIES, tranche 11)
KEEP 138 443661681 CHAUDRONNERIE MARMONIER (NIVOLAS-VERMELLE, tranche 11)
KEEP 139 403946825 SOCIETE INDUSTRIELLE DE CHAUDRONNERIE (SIC) (PONT-SAINTE-MARIE, tranche 11)
KEEP 140 883933863 CHAUDRONNERIE BRILLA GILLES (CHAUDRONNERIE BR (MONTMIRAL, tranche 11)
KEEP 141 440357275 ATELIER DE CHAUDRONNERIE DE SASSENAGE (ACS) (CHAMPAGNIER, tranche 11)
KEEP 142 398472449 CHAUDRONNERIE INDUSTRIELLE VANNETAISE (VANNES, tranche 11)
--- progress: 600 interroges, 505 retenus ---
KEEP 143 381781087 CHAUDRONNERIE DU BASSIN (CDB) (BOISSE-PENCHOT, tranche 11)
KEEP 144 348425232 BEAUCOURT CHAUDRONNERIE (BILLY-BERCLAU, tranche 11)
KEEP 145 330328303 CHAUDRONNERIE AUBERT (LE CHAMBON-FEUGEROLL, tranche 11)
KEEP 146 432205805 CHAUDRONNERIE COLINET (MONTAMISE, tranche 11)
KEEP 147 407555663 CHAUDRONNERIE DE LA PLAINE SA (PADOUX, tranche 11)
KEEP 148 518380217 CHAUDRONNERIE DU GOL (SAINT-LOUIS, tranche 11)
KEEP 149 792176117 LA CHAUDRONNERIE VIERZONNAISE (L.A.C.V.) (VIERZON, tranche 11)
KEEP 150 790675409 LA CHAUDRONNERIE ALLAMAN (VOIRON, tranche 11)
KEEP 151 829071307 GRISA CHAUDRONNERIE (VOREPPE, tranche 11)
KEEP 152 329593420 CHAUDRONNERIE DE L ISERE (SASSENAGE, tranche 11)
KEEP 153 311273874 CHAUDRONNERIE BAULOISE SA (BAULE, tranche 11)
KEEP 154 418860383 CHAUDRONNERIE KOKOL (KILSTETT, tranche 11)
KEEP 155 381700434 MOTHAISE DE CHAUDRONNERIE (LES ACHARDS, tranche 11)
KEEP 156 434143814 CHAUDRONNERIE VILLETTE (MONTEBOURG, tranche 11)
KEEP 157 400062055 L.I.H.D. CHAUDRONNERIE (L.I.H.D. CHAUDRONNERI (SAINT-SAUVEUR, tranche 11)
KEEP 158 335233573 CHAUDRONNERIE DU CORDEAU (CHASSELAY, tranche 11)
KEEP 159 971501408 CHAUDRONNERIE VEYRET (SAINT-LAURENT-DE-MUR, tranche 11)
KEEP 160 838947612 CHAUDRONNERIE DE L'ANGOUMOIS (LA COURONNE, tranche 11)
